date,revenue,users,churn_rate
2024-01-01,100.0,1000,0.04
2024-01-02,100.35,1000,0.04
2024-01-03,100.7,1001,0.04
2024-01-04,101.05,1001,0.04
2024-01-05,101.4,1002,0.04
2024-01-06,101.75,1003,0.04
2024-01-07,102.1,1003,0.04
2024-01-08,102.45,1004,0.04
2024-01-09,102.8,1004,0.04
2024-01-10,103.15,1005,0.04
2024-01-11,103.5,1006,0.04
2024-01-12,103.85,1006,0.04
2024-01-13,104.2,1007,0.04
2024-01-14,104.55,1007,0.04
2024-01-15,104.9,1008,0.04
2024-01-16,105.25,1009,0.04
2024-01-17,105.6,1009,0.04
2024-01-18,105.95,1010,0.04
2024-01-19,106.3,1010,0.04
2024-01-20,106.65,1011,0.04
2024-01-21,107.0,1012,0.04
2024-01-22,107.35,1012,0.04
2024-01-23,107.7,1013,0.04
2024-01-24,108.05,1013,0.04
2024-01-25,108.4,1014,0.04
2024-01-26,108.75,1015,0.04
2024-01-27,109.1,1015,0.04
2024-01-28,109.45,1016,0.04
2024-01-29,109.8,1016,0.04
2024-01-30,110.15,1017,0.04
2024-01-31,110.5,1018,0.04
2024-02-01,110.85,1018,0.04
2024-02-02,111.2,1019,0.04
2024-02-03,111.55,1019,0.04
2024-02-04,111.9,1020,0.04
2024-02-05,112.25,1021,0.04
2024-02-06,112.6,1021,0.04
2024-02-07,112.95,1022,0.04
2024-02-08,113.3,1022,0.04
2024-02-09,113.65,1023,0.04
2024-02-10,114.0,1024,0.04
2024-02-11,114.35,1024,0.04
2024-02-12,114.7,1025,0.04
2024-02-13,115.05,1025,0.04
2024-02-14,115.4,1026,0.04
2024-02-15,115.75,1027,0.04
2024-02-16,116.1,1027,0.04
2024-02-17,116.45,1028,0.04
2024-02-18,116.8,1028,0.04
2024-02-19,117.15,1029,0.04
2024-02-20,117.5,1030,0.04
2024-02-21,117.85,1030,0.04
2024-02-22,118.2,1031,0.04
2024-02-23,118.55,1031,0.04
2024-02-24,118.9,1032,0.04
2024-02-25,119.25,1033,0.04
2024-02-26,119.6,1033,0.04
2024-02-27,119.95,1034,0.04
2024-02-28,120.3,1034,0.04
2024-02-29,120.65,1035,0.04
2024-03-01,121.0,1036,0.04
2024-03-02,121.35,1036,0.04
2024-03-03,121.7,1037,0.04
2024-03-04,122.05,1037,0.04
2024-03-05,122.4,1038,0.04
2024-03-06,122.75,1039,0.04
2024-03-07,123.1,1039,0.04
2024-03-08,123.45,1040,0.04
2024-03-09,123.8,1040,0.04
2024-03-10,124.15,1041,0.04
2024-03-11,124.5,1042,0.04
2024-03-12,124.85,1042,0.04
2024-03-13,125.2,1043,0.04
2024-03-14,125.55,1043,0.04
2024-03-15,125.9,1044,0.04
2024-03-16,126.25,1045,0.04
2024-03-17,126.6,1045,0.04
2024-03-18,126.95,1046,0.04
2024-03-19,127.3,1046,0.04
2024-03-20,127.65,1047,0.04
2024-03-21,128.0,1048,0.04
2024-03-22,128.35,1048,0.04
2024-03-23,128.7,1049,0.04
2024-03-24,129.05,1049,0.04
2024-03-25,129.4,1050,0.04
2024-03-26,129.75,1051,0.04
2024-03-27,130.1,1051,0.04
2024-03-28,130.45,1052,0.04
2024-03-29,130.8,1052,0.04
2024-03-30,131.15,1053,0.04
2024-03-31,131.5,1054,0.04
2024-04-01,131.85,1054,0.04
2024-04-02,132.2,1055,0.04
2024-04-03,132.55,1055,0.04
2024-04-04,132.9,1056,0.04
2024-04-05,133.25,1057,0.04
2024-04-06,133.6,1057,0.04
2024-04-07,133.95,1058,0.04
2024-04-08,134.3,1058,0.04
2024-04-09,134.65,1059,0.04
2024-04-10,135.0,1060,0.04
2024-04-11,135.35,1060,0.04
2024-04-12,135.7,1061,0.04
2024-04-13,136.05,1061,0.04
2024-04-14,136.4,1062,0.04
2024-04-15,136.75,1063,0.04
2024-04-16,137.1,1063,0.04
2024-04-17,137.45,1064,0.04
2024-04-18,137.8,1064,0.04
2024-04-19,138.15,1065,0.04
2024-04-20,138.5,1066,0.04
2024-04-21,138.85,1066,0.04
2024-04-22,139.2,1067,0.04
2024-04-23,139.55,1067,0.04
2024-04-24,139.9,1068,0.04
2024-04-25,140.25,1069,0.04
2024-04-26,140.6,1069,0.04
2024-04-27,140.95,1070,0.04
2024-04-28,141.3,1070,0.04
2024-04-29,141.65,1071,0.04
2024-04-30,142.0,1072,0.04
2024-05-01,142.35,1072,0.04
2024-05-02,142.7,1073,0.04
2024-05-03,143.05,1073,0.04
2024-05-04,143.4,1074,0.04
2024-05-05,143.75,1075,0.04
2024-05-06,144.1,1075,0.04
2024-05-07,144.45,1076,0.04
2024-05-08,144.8,1076,0.04
2024-05-09,145.15,1077,0.04
2024-05-10,145.5,1078,0.04
2024-05-11,145.85,1078,0.04
2024-05-12,146.2,1079,0.04
2024-05-13,146.55,1079,0.04
2024-05-14,146.9,1080,0.04
2024-05-15,147.25,1081,0.04
2024-05-16,147.6,1081,0.04
2024-05-17,147.95,1082,0.04
2024-05-18,148.3,1082,0.04
2024-05-19,148.65,1083,0.04
2024-05-20,149.0,1084,0.04
2024-05-21,149.35,1084,0.04
2024-05-22,149.7,1085,0.04
2024-05-23,150.05,1085,0.04
2024-05-24,150.4,1086,0.04
2024-05-25,150.75,1087,0.04
2024-05-26,151.1,1087,0.04
2024-05-27,151.45,1088,0.04
2024-05-28,151.8,1088,0.04
2024-05-29,152.15,1089,0.04
2024-05-30,152.5,1090,0.04
2024-05-31,152.85,1090,0.04
2024-06-01,153.2,1091,0.04
2024-06-02,153.55,1091,0.04
2024-06-03,153.9,1092,0.04
2024-06-04,154.25,1093,0.04
2024-06-05,154.6,1093,0.04
2024-06-06,154.95,1094,0.04
2024-06-07,155.3,1094,0.04
2024-06-08,155.65,1095,0.04
2024-06-09,156.0,1096,0.04
2024-06-10,156.35,1096,0.04
2024-06-11,156.7,1097,0.04
2024-06-12,157.05,1097,0.04
2024-06-13,157.4,1098,0.04
2024-06-14,157.75,1099,0.04
2024-06-15,158.1,1099,0.04
2024-06-16,158.45,1100,0.04
2024-06-17,158.8,1100,0.04
2024-06-18,159.15,1101,0.04
2024-06-19,159.5,1102,0.04
2024-06-20,159.85,1102,0.04
2024-06-21,160.2,1103,0.04
2024-06-22,160.55,1103,0.04
2024-06-23,160.9,1104,0.04
2024-06-24,161.25,1105,0.04
2024-06-25,161.6,1105,0.04
2024-06-26,161.95,1106,0.04
2024-06-27,162.3,1106,0.04
2024-06-28,162.65,1107,0.04
2024-06-29,163.0,1108,0.04
2024-06-30,163.35,1108,0.04
2024-07-01,163.7,1109,0.04
2024-07-02,164.05,1109,0.04
2024-07-03,164.4,1110,0.04
2024-07-04,164.75,1111,0.04
2024-07-05,165.1,1111,0.04
2024-07-06,165.45,1112,0.04
2024-07-07,165.8,1112,0.04
2024-07-08,166.15,1113,0.04
2024-07-09,166.5,1114,0.04
2024-07-10,166.85,1114,0.04
2024-07-11,167.2,1115,0.04
2024-07-12,167.55,1115,0.04
2024-07-13,167.9,1116,0.04
2024-07-14,168.25,1117,0.04
2024-07-15,168.6,1117,0.04
2024-07-16,168.95,1118,0.04
2024-07-17,169.3,1118,0.04
2024-07-18,169.65,1119,0.04
2024-07-19,170.0,1120,0.04
2024-07-20,170.35,1120,0.04
2024-07-21,170.7,1121,0.04
2024-07-22,171.05,1121,0.04
2024-07-23,171.4,1122,0.04
2024-07-24,171.75,1123,0.04
2024-07-25,172.1,1123,0.04
2024-07-26,172.45,1124,0.04
2024-07-27,172.8,1124,0.04
2024-07-28,173.15,1125,0.04
2024-07-29,173.5,1126,0.04
2024-07-30,173.85,1126,0.04
2024-07-31,174.2,1127,0.04
2024-08-01,174.55,1127,0.04
2024-08-02,174.9,1128,0.04
2024-08-03,175.25,1129,0.04
2024-08-04,175.6,1129,0.04
2024-08-05,175.95,1130,0.04
2024-08-06,176.3,1130,0.04
2024-08-07,176.65,1131,0.04
2024-08-08,177.0,1132,0.04
2024-08-09,177.35,1132,0.04
2024-08-10,177.7,1133,0.04
2024-08-11,178.05,1133,0.04
2024-08-12,178.4,1134,0.04
2024-08-13,178.75,1135,0.04
2024-08-14,179.1,1135,0.04
2024-08-15,179.45,1136,0.04
2024-08-16,179.8,1136,0.04
2024-08-17,180.15,1137,0.04
2024-08-18,180.5,1138,0.04
2024-08-19,180.85,1138,0.04
2024-08-20,181.2,1139,0.04
2024-08-21,181.55,1139,0.04
2024-08-22,181.9,1140,0.04
2024-08-23,182.25,1141,0.04
2024-08-24,182.6,1141,0.04
2024-08-25,182.95,1142,0.04
2024-08-26,183.3,1142,0.04
2024-08-27,183.65,1143,0.04
2024-08-28,184.0,1144,0.04
2024-08-29,184.35,1144,0.04
2024-08-30,184.7,1145,0.04
2024-08-31,185.05,1145,0.04
2024-09-01,185.4,1146,0.04
2024-09-02,185.75,1147,0.04
2024-09-03,186.1,1147,0.04
2024-09-04,186.45,1148,0.04
2024-09-05,186.8,1148,0.04
2024-09-06,187.15,1149,0.04
2024-09-07,187.5,1150,0.04
2024-09-08,187.85,1150,0.04
2024-09-09,188.2,1151,0.04
2024-09-10,188.55,1151,0.04
2024-09-11,188.9,1152,0.04
2024-09-12,189.25,1153,0.04
2024-09-13,189.6,1153,0.04
2024-09-14,189.95,1154,0.04
2024-09-15,190.3,1154,0.04
2024-09-16,190.65,1155,0.04
2024-09-17,191.0,1156,0.04
2024-09-18,191.35,1156,0.04
2024-09-19,191.7,1157,0.04
2024-09-20,192.05,1157,0.04
2024-09-21,192.4,1158,0.04
2024-09-22,192.75,1159,0.04
2024-09-23,193.1,1159,0.04
2024-09-24,193.45,1160,0.04
2024-09-25,193.8,1160,0.04
2024-09-26,194.15,1161,0.04
2024-09-27,194.5,1162,0.04
2024-09-28,194.85,1162,0.04
2024-09-29,195.2,1163,0.04
2024-09-30,195.55,1163,0.04
2024-10-01,195.9,1164,0.04
2024-10-02,196.25,1165,0.04
2024-10-03,196.6,1165,0.04
2024-10-04,196.95,1166,0.04
2024-10-05,197.3,1166,0.04
2024-10-06,197.65,1167,0.04
2024-10-07,198.0,1168,0.04
2024-10-08,198.35,1168,0.04
2024-10-09,198.7,1169,0.04
2024-10-10,199.05,1169,0.04
2024-10-11,199.4,1170,0.04
2024-10-12,199.75,1171,0.04
2024-10-13,200.1,1171,0.04
2024-10-14,200.45,1172,0.04
2024-10-15,200.8,1172,0.04
2024-10-16,201.15,1173,0.04
2024-10-17,201.5,1174,0.04
2024-10-18,201.85,1174,0.04
2024-10-19,202.2,1175,0.04
2024-10-20,202.55,1175,0.04
2024-10-21,202.9,1176,0.04
2024-10-22,203.25,1177,0.04
2024-10-23,203.6,1177,0.04
2024-10-24,203.95,1178,0.04
2024-10-25,204.3,1178,0.04
2024-10-26,204.65,1179,0.04
2024-10-27,205.0,1180,0.04
2024-10-28,205.35,1180,0.04
2024-10-29,205.7,1181,0.04
2024-10-30,206.05,1181,0.04
2024-10-31,206.4,1182,0.04
2024-11-01,206.75,1183,0.04
2024-11-02,207.1,1183,0.04
2024-11-03,207.45,1184,0.04
2024-11-04,207.8,1184,0.04
2024-11-05,208.15,1185,0.04
2024-11-06,208.5,1186,0.04
2024-11-07,208.85,1186,0.04
2024-11-08,209.2,1187,0.04
2024-11-09,209.55,1187,0.04
2024-11-10,209.9,1188,0.04
2024-11-11,210.25,1189,0.04
2024-11-12,210.6,1189,0.04
2024-11-13,210.95,1190,0.04
2024-11-14,211.3,1190,0.04
2024-11-15,211.65,1191,0.04
2024-11-16,212.0,1192,0.04
2024-11-17,212.35,1192,0.04
2024-11-18,212.7,1193,0.04
2024-11-19,213.05,1193,0.04
2024-11-20,213.4,1194,0.04
2024-11-21,213.75,1195,0.04
2024-11-22,214.1,1195,0.04
2024-11-23,214.45,1196,0.04
2024-11-24,214.8,1196,0.04
2024-11-25,215.15,1197,0.04
2024-11-26,215.5,1198,0.04
2024-11-27,215.85,1198,0.04
2024-11-28,216.2,1199,0.04
2024-11-29,216.55,1199,0.04
2024-11-30,216.9,1200,0.04
2024-12-01,217.25,1201,0.04
2024-12-02,217.6,1201,0.04
2024-12-03,217.95,1202,0.04
2024-12-04,218.3,1202,0.04
2024-12-05,218.65,1203,0.04
2024-12-06,219.0,1204,0.04
2024-12-07,219.35,1204,0.04
2024-12-08,219.7,1205,0.04
2024-12-09,220.05,1205,0.04
2024-12-10,220.4,1206,0.04
2024-12-11,220.75,1207,0.04
2024-12-12,221.1,1207,0.04
2024-12-13,221.45,1208,0.04
2024-12-14,221.8,1208,0.04
2024-12-15,222.15,1209,0.04
2024-12-16,222.5,1210,0.04
2024-12-17,222.85,1210,0.04
2024-12-18,223.2,1211,0.04
2024-12-19,223.55,1211,0.04
2024-12-20,223.9,1212,0.04
2024-12-21,224.25,1213,0.04
2024-12-22,224.6,1213,0.04
2024-12-23,224.95,1214,0.04
2024-12-24,225.3,1214,0.04
2024-12-25,225.65,1215,0.04
2024-12-26,226.0,1216,0.04
2024-12-27,226.35,1216,0.04
2024-12-28,226.7,1217,0.04
2024-12-29,227.05,1217,0.04
2024-12-30,227.4,1218,0.04
2024-12-31,227.75,1219,0.04
2025-01-01,228.1,1219,0.04
2025-01-02,228.45,1220,0.04
2025-01-03,228.8,1220,0.04
2025-01-04,229.15,1221,0.04
2025-01-05,229.5,1222,0.04
2025-01-06,229.85,1222,0.04
2025-01-07,230.2,1223,0.04
2025-01-08,230.55,1223,0.04
2025-01-09,230.9,1224,0.04
2025-01-10,231.25,1225,0.04
2025-01-11,231.6,1225,0.04
2025-01-12,231.95,1226,0.04
2025-01-13,232.3,1226,0.04
2025-01-14,232.65,1227,0.04
2025-01-15,233.0,1228,0.04
2025-01-16,233.35,1228,0.04
2025-01-17,233.7,1229,0.04
2025-01-18,234.05,1229,0.04
2025-01-19,234.4,1230,0.04
2025-01-20,234.75,1231,0.04
2025-01-21,235.1,1231,0.04
2025-01-22,235.45,1232,0.04
2025-01-23,235.8,1232,0.04
2025-01-24,236.15,1233,0.04
2025-01-25,236.5,1234,0.04
2025-01-26,236.85,1234,0.04
2025-01-27,237.2,1235,0.04
2025-01-28,237.55,1235,0.04
2025-01-29,237.9,1236,0.04
2025-01-30,238.25,1237,0.04
2025-01-31,238.6,1237,0.04
2025-02-01,238.95,1238,0.04
2025-02-02,239.3,1238,0.04
2025-02-03,239.65,1239,0.04
2025-02-04,240.0,1240,0.04
2025-02-05,240.35,1240,0.04
2025-02-06,240.7,1241,0.04
2025-02-07,241.05,1241,0.04
2025-02-08,241.4,1242,0.04
2025-02-09,241.75,1243,0.04
2025-02-10,242.1,1243,0.04
2025-02-11,242.45,1244,0.04
2025-02-12,242.8,1244,0.04
2025-02-13,243.15,1245,0.04
2025-02-14,243.5,1246,0.04
2025-02-15,243.85,1246,0.04
2025-02-16,244.2,1247,0.04
2025-02-17,244.55,1247,0.04
2025-02-18,244.9,1248,0.04
2025-02-19,245.25,1249,0.04
2025-02-20,245.6,1249,0.04
2025-02-21,245.95,1250,0.04
2025-02-22,246.3,1250,0.04
2025-02-23,246.65,1251,0.04
2025-02-24,247.0,1252,0.04
2025-02-25,247.35,1252,0.04
2025-02-26,247.7,1253,0.04
2025-02-27,248.05,1253,0.04
2025-02-28,248.4,1254,0.04
2025-03-01,248.75,1255,0.04
2025-03-02,249.1,1255,0.04
2025-03-03,249.45,1256,0.04
2025-03-04,249.8,1256,0.04
2025-03-05,250.15,1257,0.04
2025-03-06,250.5,1258,0.04
2025-03-07,250.85,1258,0.04
2025-03-08,251.2,1259,0.04
2025-03-09,251.55,1259,0.04
2025-03-10,251.9,1260,0.04
2025-03-11,252.25,1261,0.04
2025-03-12,252.6,1261,0.04
2025-03-13,252.95,1262,0.04
2025-03-14,253.3,1262,0.04
2025-03-15,253.65,1263,0.04
2025-03-16,254.0,1264,0.04
2025-03-17,254.35,1264,0.04
2025-03-18,254.7,1265,0.04
2025-03-19,255.05,1265,0.04
2025-03-20,255.4,1266,0.04
2025-03-21,255.75,1267,0.04
2025-03-22,256.1,1267,0.04
2025-03-23,256.45,1268,0.04
2025-03-24,256.8,1268,0.04
2025-03-25,257.15,1269,0.04
2025-03-26,257.5,1270,0.04
2025-03-27,257.85,1270,0.04
2025-03-28,258.2,1271,0.04
2025-03-29,258.55,1271,0.04
2025-03-30,258.9,1272,0.04
2025-03-31,259.25,1273,0.04
2025-04-01,259.6,1273,0.04
2025-04-02,259.95,1274,0.04
2025-04-03,260.3,1274,0.04
2025-04-04,260.65,1275,0.04
2025-04-05,261.0,1276,0.04
2025-04-06,261.35,1276,0.04
2025-04-07,261.7,1277,0.04
2025-04-08,262.05,1277,0.04
2025-04-09,262.4,1278,0.04
2025-04-10,262.75,1279,0.04
2025-04-11,263.1,1279,0.04
2025-04-12,263.45,1280,0.04
2025-04-13,263.8,1280,0.04
2025-04-14,264.15,1281,0.04
2025-04-15,264.5,1282,0.04
2025-04-16,264.85,1282,0.04
2025-04-17,265.2,1283,0.04
2025-04-18,265.55,1283,0.04
2025-04-19,265.9,1284,0.04
2025-04-20,266.25,1285,0.04
2025-04-21,266.6,1285,0.04
2025-04-22,266.95,1286,0.04
2025-04-23,267.3,1286,0.04
2025-04-24,267.65,1287,0.04
2025-04-25,268.0,1288,0.04
2025-04-26,268.35,1288,0.04
2025-04-27,268.7,1289,0.04
2025-04-28,269.05,1289,0.04
2025-04-29,269.4,1290,0.04
2025-04-30,269.75,1291,0.04
2025-05-01,270.1,1291,0.04
2025-05-02,270.45,1292,0.04
2025-05-03,270.8,1292,0.04
2025-05-04,271.15,1293,0.04
2025-05-05,271.5,1294,0.04
2025-05-06,271.85,1294,0.04
2025-05-07,272.2,1295,0.04
2025-05-08,272.55,1295,0.04
2025-05-09,272.9,1296,0.04
2025-05-10,273.25,1297,0.04
2025-05-11,273.6,1297,0.04
2025-05-12,273.95,1298,0.04
2025-05-13,274.3,1298,0.04
2025-05-14,274.65,1299,0.04
2025-05-15,275.0,1300,0.04
2025-05-16,275.35,1300,0.04
2025-05-17,275.7,1301,0.04
2025-05-18,276.05,1301,0.04
2025-05-19,276.4,1302,0.04
2025-05-20,276.75,1303,0.04
2025-05-21,277.1,1303,0.04
2025-05-22,277.45,1304,0.04
2025-05-23,277.8,1304,0.04
2025-05-24,278.15,1305,0.04
2025-05-25,278.5,1306,0.04
2025-05-26,278.85,1306,0.04
2025-05-27,279.2,1307,0.04
2025-05-28,279.55,1307,0.04
2025-05-29,279.9,1308,0.04
2025-05-30,280.25,1309,0.04
2025-05-31,280.6,1309,0.04
2025-06-01,280.95,1310,0.04
2025-06-02,281.3,1310,0.04
2025-06-03,281.65,1311,0.04
2025-06-04,282.0,1312,0.04
2025-06-05,282.35,1312,0.04
2025-06-06,282.7,1313,0.04
2025-06-07,283.05,1313,0.04
2025-06-08,283.4,1314,0.04
2025-06-09,283.75,1315,0.04
2025-06-10,284.1,1315,0.04
2025-06-11,284.45,1316,0.04
2025-06-12,284.8,1316,0.04
2025-06-13,285.15,1317,0.04
2025-06-14,285.5,1318,0.04
2025-06-15,285.85,1318,0.04
2025-06-16,286.2,1319,0.04
2025-06-17,286.55,1319,0.04
2025-06-18,286.9,1320,0.04
2025-06-19,287.25,1321,0.04
2025-06-20,287.6,1321,0.04
2025-06-21,287.95,1322,0.04
2025-06-22,288.3,1322,0.04
2025-06-23,288.65,1323,0.04
2025-06-24,289.0,1324,0.04
2025-06-25,289.35,1324,0.04
2025-06-26,289.7,1325,0.04
2025-06-27,290.05,1325,0.04
2025-06-28,290.4,1326,0.04
2025-06-29,290.75,1327,0.04
2025-06-30,291.1,1327,0.04
2025-07-01,291.45,1328,0.04
2025-07-02,291.8,1328,0.04
2025-07-03,292.15,1329,0.04
2025-07-04,292.5,1330,0.04
2025-07-05,292.85,1330,0.04
2025-07-06,293.2,1331,0.04
2025-07-07,293.55,1331,0.04
2025-07-08,293.9,1332,0.04
2025-07-09,294.25,1333,0.04
2025-07-10,294.6,1333,0.04
2025-07-11,294.95,1334,0.04
2025-07-12,295.3,1334,0.04
2025-07-13,295.65,1335,0.04
2025-07-14,296.0,1336,0.04
2025-07-15,296.35,1336,0.04
2025-07-16,296.7,1337,0.04
2025-07-17,297.05,1337,0.04
2025-07-18,297.4,1338,0.04
2025-07-19,297.75,1339,0.04
2025-07-20,298.1,1339,0.04
2025-07-21,298.45,1340,0.04
2025-07-22,298.8,1340,0.04
2025-07-23,299.15,1341,0.04
2025-07-24,299.5,1342,0.04
2025-07-25,299.85,1342,0.04
2025-07-26,300.2,1343,0.04
2025-07-27,300.55,1343,0.04
2025-07-28,300.9,1344,0.04
2025-07-29,301.25,1345,0.04
2025-07-30,301.6,1345,0.04
2025-07-31,301.95,1346,0.04
2025-08-01,302.3,1346,0.04
2025-08-02,302.65,1347,0.04
2025-08-03,303.0,1348,0.04
2025-08-04,303.35,1348,0.04
2025-08-05,303.7,1349,0.04
2025-08-06,304.05,1349,0.04
2025-08-07,304.4,1350,0.04
2025-08-08,304.75,1351,0.04
2025-08-09,305.1,1351,0.04
2025-08-10,305.45,1352,0.04
2025-08-11,305.8,1352,0.04
2025-08-12,306.15,1353,0.04
2025-08-13,306.5,1354,0.04
2025-08-14,306.85,1354,0.04
2025-08-15,307.2,1355,0.04
2025-08-16,307.55,1355,0.04
2025-08-17,307.9,1356,0.04
2025-08-18,308.25,1357,0.04
2025-08-19,308.6,1357,0.04
2025-08-20,308.95,1358,0.04
2025-08-21,309.3,1358,0.04
2025-08-22,309.65,1359,0.04
2025-08-23,310.0,1360,0.04
2025-08-24,310.35,1360,0.04
2025-08-25,310.7,1361,0.04
2025-08-26,311.05,1361,0.04
2025-08-27,311.4,1362,0.04
2025-08-28,311.75,1363,0.04
2025-08-29,312.1,1363,0.04
2025-08-30,312.45,1364,0.04
2025-08-31,312.8,1364,0.04
